impl,mode,mix,dist,threads,ops,bucket_count,read_ratio,p_hot,time_s,throughput_mops,speedup,seq_baseline_s
AGH,strong,80/20,uniform,1,2000000,16384,0.80,0.00,2.817773,0.710,0.489,1.378884
AGH,strong,80/20,uniform,2,2000000,16384,0.80,0.00,1.405398,1.423,0.981,1.378884
AGH,strong,80/20,uniform,4,2000000,16384,0.80,0.00,0.844321,2.369,1.633,1.378884
AGH,strong,80/20,uniform,8,2000000,16384,0.80,0.00,0.445421,4.490,3.096,1.378884
AGH,strong,80/20,uniform,16,2000000,16384,0.80,0.00,0.270080,7.405,5.105,1.378884
AGH,strong,80/20,skew,1,2000000,16384,0.80,0.70,2.479902,0.806,0.563,1.396292
AGH,strong,80/20,skew,2,2000000,16384,0.80,0.70,1.382589,1.447,1.010,1.396292
AGH,strong,80/20,skew,4,2000000,16384,0.80,0.70,0.834558,2.396,1.673,1.396292
AGH,strong,80/20,skew,8,2000000,16384,0.80,0.70,0.563713,3.548,2.477,1.396292
AGH,strong,80/20,skew,16,2000000,16384,0.80,0.70,0.470361,4.252,2.969,1.396292
AGH,strong,80/20,skew,1,2000000,16384,0.80,0.90,1.999307,1.000,0.699,1.396590
AGH,strong,80/20,skew,2,2000000,16384,0.80,0.90,1.172150,1.706,1.191,1.396590
AGH,strong,80/20,skew,4,2000000,16384,0.80,0.90,0.741802,2.696,1.883,1.396590
AGH,strong,80/20,skew,8,2000000,16384,0.80,0.90,0.583574,3.427,2.393,1.396590
AGH,strong,80/20,skew,16,2000000,16384,0.80,0.90,0.478267,4.182,2.920,1.396590
AGH,strong,80/20,skew,1,2000000,16384,0.80,0.99,1.800265,1.111,0.774,1.393240
AGH,strong,80/20,skew,2,2000000,16384,0.80,0.99,1.055921,1.894,1.319,1.393240
AGH,strong,80/20,skew,4,2000000,16384,0.80,0.99,0.699496,2.859,1.992,1.393240
AGH,strong,80/20,skew,8,2000000,16384,0.80,0.99,0.577664,3.462,2.412,1.393240
AGH,strong,80/20,skew,16,2000000,16384,0.80,0.99,0.477353,4.190,2.919,1.393240
AGH,strong,80/20,uniform,1,2000000,65536,0.80,0.00,0.826178,2.421,0.379,0.313117
AGH,strong,80/20,uniform,2,2000000,65536,0.80,0.00,0.587675,3.403,0.533,0.313117
AGH,strong,80/20,uniform,4,2000000,65536,0.80,0.00,0.350732,5.702,0.893,0.313117
AGH,strong,80/20,uniform,8,2000000,65536,0.80,0.00,0.223311,8.956,1.402,0.313117
