impl,mode,mix,dist,threads,ops,bucket_count,read_ratio,p_hot,time_s,throughput_mops,speedup,seq_baseline_s
AGH,strong,80/20,uniform,1,2000000,16384,0.80,0.00,3.049458,0.656,0.455,1.388643
AGH,strong,80/20,uniform,2,2000000,16384,0.80,0.00,1.462096,1.368,0.950,1.388643
AGH,strong,80/20,uniform,4,2000000,16384,0.80,0.00,0.787184,2.541,1.764,1.388643
AGH,strong,80/20,uniform,8,2000000,16384,0.80,0.00,0.426089,4.694,3.259,1.388643
AGH,strong,80/20,uniform,16,2000000,16384,0.80,0.00,0.245043,8.162,5.667,1.388643
AGH,strong,80/20,skew,1,2000000,16384,0.80,0.70,2.583815,0.774,0.538,1.389659
AGH,strong,80/20,skew,2,2000000,16384,0.80,0.70,1.437425,1.391,0.967,1.389659
AGH,strong,80/20,skew,4,2000000,16384,0.80,0.70,0.855240,2.339,1.625,1.389659
AGH,strong,80/20,skew,8,2000000,16384,0.80,0.70,0.602657,3.319,2.306,1.389659
AGH,strong,80/20,skew,16,2000000,16384,0.80,0.70,0.490976,4.074,2.830,1.389659
AGH,strong,80/20,skew,1,2000000,16384,0.80,0.90,2.096002,0.954,0.662,1.386901
AGH,strong,80/20,skew,2,2000000,16384,0.80,0.90,1.214299,1.647,1.142,1.386901
AGH,strong,80/20,skew,4,2000000,16384,0.80,0.90,0.771987,2.591,1.797,1.386901
AGH,strong,80/20,skew,8,2000000,16384,0.80,0.90,0.575744,3.474,2.409,1.386901
AGH,strong,80/20,skew,16,2000000,16384,0.80,0.90,0.480252,4.164,2.888,1.386901
AGH,strong,80/20,skew,1,2000000,16384,0.80,0.99,1.881321,1.063,0.737,1.385741
AGH,strong,80/20,skew,2,2000000,16384,0.80,0.99,1.101422,1.816,1.258,1.385741
AGH,strong,80/20,skew,4,2000000,16384,0.80,0.99,0.711015,2.813,1.949,1.385741
AGH,strong,80/20,skew,8,2000000,16384,0.80,0.99,0.577484,3.463,2.400,1.385741
AGH,strong,80/20,skew,16,2000000,16384,0.80,0.99,0.493788,4.050,2.806,1.385741
AGH,strong,80/20,uniform,1,2000000,65536,0.80,0.00,0.793730,2.520,0.381,0.302087
AGH,strong,80/20,uniform,2,2000000,65536,0.80,0.00,0.543312,3.681,0.556,0.302087
AGH,strong,80/20,uniform,4,2000000,65536,0.80,0.00,0.328283,6.092,0.920,0.302087
AGH,strong,80/20,uniform,8,2000000,65536,0.80,0.00,0.197449,10.129,1.530,0.302087
AGH,strong,80/20,uniform,16,2000000,65536,0.80,0.00,0.122651,16.306,2.463,0.302087
AGH,strong,80/20,skew,1,2000000,65536,0.80,0.70,0.901526,2.218,0.396,0.357186
AGH,strong,80/20,skew,2,2000000,65536,0.80,0.70,0.502350,3.981,0.711,0.357186
AGH,strong,80/20,skew,4,2000000,65536,0.80,0.70,0.366981,5.450,0.973,0.357186
AGH,strong,80/20,skew,8,2000000,65536,0.80,0.70,0.315924,6.331,1.131,0.357186
AGH,strong,80/20,skew,16,2000000,65536,0.80,0.70,0.296525,6.745,1.205,0.357186
AGH,strong,80/20,skew,1,2000000,65536,0.80,0.90,0.769073,2.601,0.469,0.361077
AGH,strong,80/20,skew,2,2000000,65536,0.80,0.90,0.440509,4.540,0.820,0.361077
AGH,strong,80/20,skew,4,2000000,65536,0.80,0.90,0.355209,5.630,1.017,0.361077
AGH,strong,80/20,skew,8,2000000,65536,0.80,0.90,0.316649,6.316,1.140,0.361077
AGH,strong,80/20,skew,16,2000000,65536,0.80,0.90,0.294387,6.794,1.227,0.361077
AGH,strong,80/20,skew,1,2000000,65536,0.80,0.99,0.710351,2.816,0.508,0.360763
AGH,strong,80/20,skew,2,2000000,65536,0.80,0.99,0.410714,4.870,0.878,0.360763
AGH,strong,80/20,skew,4,2000000,65536,0.80,0.99,0.338236,5.913,1.067,0.360763
AGH,strong,80/20,skew,8,2000000,65536,0.80,0.99,0.321583,6.219,1.122,0.360763
AGH,strong,80/20,skew,16,2000000,65536,0.80,0.99,0.292306,6.842,1.234,0.360763
AGH,strong,80/20,uniform,1,2000000,262144,0.80,0.00,0.398996,5.013,0.275,0.109604
AGH,strong,80/20,uniform,2,2000000,262144,0.80,0.00,0.296011,6.757,0.370,0.109604
AGH,strong,80/20,uniform,4,2000000,262144,0.80,0.00,0.188775,10.595,0.581,0.109604
AGH,strong,80/20,uniform,8,2000000,262144,0.80,0.00,0.114731,17.432,0.955,0.109604
AGH,strong,80/20,uniform,16,2000000,262144,0.80,0.00,0.068385,29.246,1.603,0.109604
AGH,strong,80/20,skew,1,2000000,262144,0.80,0.70,0.519404,3.851,0.296,0.153864
AGH,strong,80/20,skew,2,2000000,262144,0.80,0.70,0.295759,6.762,0.520,0.153864
AGH,strong,80/20,skew,4,2000000,262144,0.80,0.70,0.271711,7.361,0.566,0.153864
AGH,strong,80/20,skew,8,2000000,262144,0.80,0.70,0.285257,7.011,0.539,0.153864
AGH,strong,80/20,skew,16,2000000,262144,0.80,0.70,0.271561,7.365,0.567,0.153864
AGH,strong,80/20,skew,1,2000000,262144,0.80,0.90,0.474975,4.211,0.312,0.148327
AGH,strong,80/20,skew,2,2000000,262144,0.80,0.90,0.274311,7.291,0.541,0.148327
AGH,strong,80/20,skew,4,2000000,262144,0.80,0.90,0.258100,7.749,0.575,0.148327
AGH,strong,80/20,skew,8,2000000,262144,0.80,0.90,0.282889,7.070,0.524,0.148327
AGH,strong,80/20,skew,16,2000000,262144,0.80,0.90,0.271451,7.368,0.546,0.148327
AGH,strong,80/20,skew,1,2000000,262144,0.80,0.99,0.451945,4.425,0.323,0.146091
AGH,strong,80/20,skew,2,2000000,262144,0.80,0.99,0.262149,7.629,0.557,0.146091
AGH,strong,80/20,skew,4,2000000,262144,0.80,0.99,0.253341,7.894,0.577,0.146091
AGH,strong,80/20,skew,8,2000000,262144,0.80,0.99,0.283052,7.066,0.516,0.146091
AGH,strong,80/20,skew,16,2000000,262144,0.80,0.99,0.270075,7.405,0.541,0.146091
AGH,strong,80/20,uniform,1,2000000,1048576,0.80,0.00,0.349967,5.715,0.168,0.058966
AGH,strong,80/20,uniform,2,2000000,1048576,0.80,0.00,0.245253,8.155,0.240,0.058966
AGH,strong,80/20,uniform,4,2000000,1048576,0.80,0.00,0.142976,13.988,0.412,0.058966
AGH,strong,80/20,uniform,8,2000000,1048576,0.80,0.00,0.078212,25.572,0.754,0.058966
AGH,strong,80/20,uniform,16,2000000,1048576,0.80,0.00,0.047589,42.026,1.239,0.058966
AGH,strong,80/20,skew,1,2000000,1048576,0.80,0.70,0.431048,4.640,0.234,0.100881
AGH,strong,80/20,skew,2,2000000,1048576,0.80,0.70,0.251032,7.967,0.402,0.100881
AGH,strong,80/20,skew,4,2000000,1048576,0.80,0.70,0.256206,7.806,0.394,0.100881
AGH,strong,80/20,skew,8,2000000,1048576,0.80,0.70,0.276158,7.242,0.365,0.100881
AGH,strong,80/20,skew,16,2000000,1048576,0.80,0.70,0.256906,7.785,0.393,0.100881
AGH,strong,80/20,skew,1,2000000,1048576,0.80,0.90,0.403417,4.958,0.239,0.096426
AGH,strong,80/20,skew,2,2000000,1048576,0.80,0.90,0.238552,8.384,0.404,0.096426
AGH,strong,80/20,skew,4,2000000,1048576,0.80,0.90,0.247954,8.066,0.389,0.096426
AGH,strong,80/20,skew,8,2000000,1048576,0.80,0.90,0.279677,7.151,0.345,0.096426
AGH,strong,80/20,skew,16,2000000,1048576,0.80,0.90,0.254608,7.855,0.379,0.096426
