impl,mode,mix,dist,threads,ops,bucket_count,read_ratio,p_hot,time_s,throughput_mops,speedup,seq_baseline_s,S,MAX_STRIPES,STRIPE_FACTOR
AGH,strong,80/20,uniform,8,2000000,262144,0.80,0.00,0.137815,14.512,0.764,0.105263,512,8,1
AGH,strong,80/20,uniform,16,2000000,262144,0.80,0.00,0.118799,16.835,0.886,0.105263,512,8,1
AGH,strong,80/20,skew,8,2000000,262144,0.80,0.90,0.295477,6.769,0.493,0.145565,512,8,1
AGH,strong,80/20,skew,16,2000000,262144,0.80,0.90,0.272214,7.347,0.535,0.145565,512,8,1
AGH,strong,80/20,uniform,8,2000000,1048576,0.80,0.00,0.114151,17.521,0.533,0.060889,512,8,1
AGH,strong,80/20,uniform,16,2000000,1048576,0.80,0.00,0.110730,18.062,0.550,0.060889,512,8,1
AGH,strong,80/20,skew,8,2000000,1048576,0.80,0.90,0.290346,6.888,0.325,0.094368,512,8,1
AGH,strong,80/20,skew,16,2000000,1048576,0.80,0.90,0.258626,7.733,0.365,0.094368,512,8,1
AGH,strong,80/20,uniform,8,2000000,262144,0.80,0.00,0.135875,14.719,0.783,0.106340,512,8,2
AGH,strong,80/20,uniform,16,2000000,262144,0.80,0.00,0.113571,17.610,0.936,0.106340,512,8,2
AGH,strong,80/20,skew,8,2000000,262144,0.80,0.90,0.292855,6.829,0.502,0.147014,512,8,2
AGH,strong,80/20,skew,16,2000000,262144,0.80,0.90,0.271456,7.368,0.542,0.147014,512,8,2
AGH,strong,80/20,uniform,8,2000000,1048576,0.80,0.00,0.110424,18.112,0.528,0.058304,512,8,2
AGH,strong,80/20,uniform,16,2000000,1048576,0.80,0.00,0.105263,19.000,0.554,0.058304,512,8,2
AGH,strong,80/20,skew,8,2000000,1048576,0.80,0.90,0.286570,6.979,0.329,0.094327,512,8,2
AGH,strong,80/20,skew,16,2000000,1048576,0.80,0.90,0.257085,7.780,0.367,0.094327,512,8,2
AGH,strong,80/20,uniform,8,2000000,262144,0.80,0.00,0.133134,15.022,0.792,0.105492,512,8,3
AGH,strong,80/20,uniform,16,2000000,262144,0.80,0.00,0.116051,17.234,0.909,0.105492,512,8,3
AGH,strong,80/20,skew,8,2000000,262144,0.80,0.90,0.291084,6.871,0.497,0.144597,512,8,3
AGH,strong,80/20,skew,16,2000000,262144,0.80,0.90,0.271494,7.367,0.533,0.144597,512,8,3
AGH,strong,80/20,uniform,8,2000000,1048576,0.80,0.00,0.111107,18.001,0.538,0.059760,512,8,3
