impl,mode,mix,dist,threads,ops,bucket_count,read_ratio,p_hot,time_s,throughput_mops,speedup,seq_baseline_s
Coarse,strong,80/20,uniform,1,2000000,16384,0.80,0.00,2.618069,0.764,0.520,1.362524
Coarse,strong,80/20,uniform,2,2000000,16384,0.80,0.00,2.567278,0.779,0.531,1.362524
Coarse,strong,80/20,uniform,4,2000000,16384,0.80,0.00,3.388978,0.590,0.402,1.362524
Coarse,strong,80/20,uniform,8,2000000,16384,0.80,0.00,4.660278,0.429,0.292,1.362524
Coarse,strong,80/20,uniform,16,2000000,16384,0.80,0.00,5.880030,0.340,0.232,1.362524
Coarse,strong,80/20,skew,1,2000000,16384,0.80,0.70,2.341246,0.854,0.604,1.413142
Coarse,strong,80/20,skew,2,2000000,16384,0.80,0.70,2.503770,0.799,0.564,1.413142
Coarse,strong,80/20,skew,4,2000000,16384,0.80,0.70,3.748090,0.534,0.377,1.413142
Coarse,strong,80/20,skew,8,2000000,16384,0.80,0.70,5.044858,0.396,0.280,1.413142
Coarse,strong,80/20,skew,16,2000000,16384,0.80,0.70,7.214657,0.277,0.196,1.413142
Coarse,strong,80/20,skew,1,2000000,16384,0.80,0.90,1.886401,1.060,0.747,1.409159
Coarse,strong,80/20,skew,2,2000000,16384,0.80,0.90,2.008679,0.996,0.702,1.409159
Coarse,strong,80/20,skew,4,2000000,16384,0.80,0.90,3.364350,0.594,0.419,1.409159
Coarse,strong,80/20,skew,8,2000000,16384,0.80,0.90,5.029234,0.398,0.280,1.409159
Coarse,strong,80/20,skew,16,2000000,16384,0.80,0.90,7.236118,0.276,0.195,1.409159
Coarse,strong,80/20,skew,1,2000000,16384,0.80,0.99,1.688244,1.185,0.835,1.410451
Coarse,strong,80/20,skew,2,2000000,16384,0.80,0.99,1.778656,1.124,0.793,1.410451
Coarse,strong,80/20,skew,4,2000000,16384,0.80,0.99,3.476790,0.575,0.406,1.410451
Coarse,strong,80/20,skew,8,2000000,16384,0.80,0.99,4.974398,0.402,0.284,1.410451
Coarse,strong,80/20,skew,16,2000000,16384,0.80,0.99,7.324587,0.273,0.193,1.410451
Coarse,strong,80/20,uniform,1,2000000,65536,0.80,0.00,0.612574,3.265,0.489,0.299743
Coarse,strong,80/20,uniform,2,2000000,65536,0.80,0.00,0.711126,2.812,0.422,0.299743
Coarse,strong,80/20,uniform,4,2000000,65536,0.80,0.00,1.718362,1.164,0.174,0.299743
Coarse,strong,80/20,uniform,8,2000000,65536,0.80,0.00,3.277815,0.610,0.091,0.299743
Coarse,strong,80/20,uniform,16,2000000,65536,0.80,0.00,4.205856,0.476,0.071,0.299743
Coarse,strong,80/20,skew,1,2000000,65536,0.80,0.70,0.767003,2.608,0.458,0.350979
Coarse,strong,80/20,skew,2,2000000,65536,0.80,0.70,0.806570,2.480,0.435,0.350979
Coarse,strong,80/20,skew,4,2000000,65536,0.80,0.70,1.803219,1.109,0.195,0.350979
Coarse,strong,80/20,skew,8,2000000,65536,0.80,0.70,3.070022,0.651,0.114,0.350979
Coarse,strong,80/20,skew,16,2000000,65536,0.80,0.70,4.124333,0.485,0.085,0.350979
Coarse,strong,80/20,skew,1,2000000,65536,0.80,0.90,0.637454,3.137,0.542,0.345436
Coarse,strong,80/20,skew,2,2000000,65536,0.80,0.90,0.668204,2.993,0.517,0.345436
Coarse,strong,80/20,skew,4,2000000,65536,0.80,0.90,1.684441,1.187,0.205,0.345436
Coarse,strong,80/20,skew,8,2000000,65536,0.80,0.90,3.060761,0.653,0.113,0.345436
Coarse,strong,80/20,skew,16,2000000,65536,0.80,0.90,4.127321,0.485,0.084,0.345436
Coarse,strong,80/20,skew,1,2000000,65536,0.80,0.99,0.566679,3.529,0.632,0.357909
Coarse,strong,80/20,skew,2,2000000,65536,0.80,0.99,0.603655,3.313,0.593,0.357909
Coarse,strong,80/20,skew,4,2000000,65536,0.80,0.99,1.680976,1.190,0.213,0.357909
Coarse,strong,80/20,skew,8,2000000,65536,0.80,0.99,3.001668,0.666,0.119,0.357909
Coarse,strong,80/20,skew,16,2000000,65536,0.80,0.99,4.253344,0.470,0.084,0.357909
Coarse,strong,80/20,uniform,1,2000000,262144,0.80,0.00,0.175086,11.423,0.593,0.103813
Coarse,strong,80/20,uniform,2,2000000,262144,0.80,0.00,0.307652,6.501,0.337,0.103813
Coarse,strong,80/20,uniform,4,2000000,262144,0.80,0.00,1.254441,1.594,0.083,0.103813
Coarse,strong,80/20,uniform,8,2000000,262144,0.80,0.00,2.843749,0.703,0.037,0.103813
Coarse,strong,80/20,uniform,16,2000000,262144,0.80,0.00,3.657482,0.547,0.028,0.103813
Coarse,strong,80/20,skew,1,2000000,262144,0.80,0.70,0.382528,5.228,0.395,0.150999
Coarse,strong,80/20,skew,2,2000000,262144,0.80,0.70,0.396196,5.048,0.381,0.150999
Coarse,strong,80/20,skew,4,2000000,262144,0.80,0.70,1.301198,1.537,0.116,0.150999
Coarse,strong,80/20,skew,8,2000000,262144,0.80,0.70,2.618753,0.764,0.058,0.150999
Coarse,strong,80/20,skew,16,2000000,262144,0.80,0.70,3.565045,0.561,0.042,0.150999
Coarse,strong,80/20,skew,1,2000000,262144,0.80,0.90,0.344631,5.803,0.425,0.146496
Coarse,strong,80/20,skew,2,2000000,262144,0.80,0.90,0.338239,5.913,0.433,0.146496
Coarse,strong,80/20,skew,4,2000000,262144,0.80,0.90,1.261329,1.586,0.116,0.146496
Coarse,strong,80/20,skew,8,2000000,262144,0.80,0.90,2.608415,0.767,0.056,0.146496
Coarse,strong,80/20,skew,16,2000000,262144,0.80,0.90,3.567843,0.561,0.041,0.146496
Coarse,strong,80/20,skew,1,2000000,262144,0.80,0.99,0.318663,6.276,0.443,0.141172
Coarse,strong,80/20,skew,2,2000000,262144,0.80,0.99,0.310640,6.438,0.454,0.141172
Coarse,strong,80/20,skew,4,2000000,262144,0.80,0.99,1.217725,1.642,0.116,0.141172
Coarse,strong,80/20,skew,8,2000000,262144,0.80,0.99,2.577485,0.776,0.055,0.141172
Coarse,strong,80/20,skew,16,2000000,262144,0.80,0.99,3.626892,0.551,0.039,0.141172
Coarse,strong,80/20,uniform,1,2000000,1048576,0.80,0.00,0.113808,17.574,0.529,0.060218
Coarse,strong,80/20,uniform,2,2000000,1048576,0.80,0.00,0.212959,9.391,0.283,0.060218
Coarse,strong,80/20,uniform,4,2000000,1048576,0.80,0.00,1.178058,1.698,0.051,0.060218
Coarse,strong,80/20,uniform,8,2000000,1048576,0.80,0.00,2.839397,0.704,0.021,0.060218
Coarse,strong,80/20,uniform,16,2000000,1048576,0.80,0.00,3.587972,0.557,0.017,0.060218
Coarse,strong,80/20,skew,1,2000000,1048576,0.80,0.70,0.306312,6.529,0.327,0.100271
Coarse,strong,80/20,skew,2,2000000,1048576,0.80,0.70,0.306093,6.534,0.328,0.100271
Coarse,strong,80/20,skew,4,2000000,1048576,0.80,0.70,1.227911,1.629,0.082,0.100271
Coarse,strong,80/20,skew,8,2000000,1048576,0.80,0.70,2.567602,0.779,0.039,0.100271
Coarse,strong,80/20,skew,16,2000000,1048576,0.80,0.70,3.544859,0.564,0.028,0.100271
Coarse,strong,80/20,skew,1,2000000,1048576,0.80,0.90,0.275245,7.266,0.366,0.100674
Coarse,strong,80/20,skew,2,2000000,1048576,0.80,0.90,0.288517,6.932,0.349,0.100674
Coarse,strong,80/20,skew,4,2000000,1048576,0.80,0.90,1.211205,1.651,0.083,0.100674
Coarse,strong,80/20,skew,8,2000000,1048576,0.80,0.90,2.598060,0.770,0.039,0.100674
Coarse,strong,80/20,skew,16,2000000,1048576,0.80,0.90,3.487552,0.573,0.029,0.100674
Coarse,strong,80/20,skew,1,2000000,1048576,0.80,0.99,0.274462,7.287,0.365,0.100299
Coarse,strong,80/20,skew,2,2000000,1048576,0.80,0.99,0.277727,7.201,0.361,0.100299
Coarse,strong,80/20,skew,4,2000000,1048576,0.80,0.99,1.205806,1.659,0.083,0.100299
Coarse,strong,80/20,skew,8,2000000,1048576,0.80,0.99,2.570676,0.778,0.039,0.100299
Coarse,strong,80/20,skew,16,2000000,1048576,0.80,0.99,3.471276,0.576,0.029,0.100299
Coarse,strong,50/50,uniform,1,2000000,16384,0.50,0.00,3.870306,0.517,0.806,3.119520
Coarse,strong,50/50,uniform,2,2000000,16384,0.50,0.00,4.160722,0.481,0.750,3.119520
Coarse,strong,50/50,uniform,4,2000000,16384,0.50,0.00,5.757891,0.347,0.542,3.119520
Coarse,strong,50/50,uniform,8,2000000,16384,0.50,0.00,7.594046,0.263,0.411,3.119520
Coarse,strong,50/50,uniform,16,2000000,16384,0.50,0.00,9.895354,0.202,0.315,3.119520
Coarse,strong,50/50,skew,1,2000000,16384,0.50,0.70,3.783542,0.529,0.844,3.193945
Coarse,strong,50/50,skew,2,2000000,16384,0.50,0.70,4.105655,0.487,0.778,3.193945
Coarse,strong,50/50,skew,4,2000000,16384,0.50,0.70,5.807881,0.344,0.550,3.193945
Coarse,strong,50/50,skew,8,2000000,16384,0.50,0.70,7.118252,0.281,0.449,3.193945
Coarse,strong,50/50,skew,16,2000000,16384,0.50,0.70,9.630275,0.208,0.332,3.193945
Coarse,strong,50/50,skew,1,2000000,16384,0.50,0.90,3.561898,0.561,0.892,3.176158
Coarse,strong,50/50,skew,2,2000000,16384,0.50,0.90,3.806721,0.525,0.834,3.176158
Coarse,strong,50/50,skew,4,2000000,16384,0.50,0.90,5.291682,0.378,0.600,3.176158
Coarse,strong,50/50,skew,8,2000000,16384,0.50,0.90,7.321095,0.273,0.434,3.176158
Coarse,strong,50/50,skew,16,2000000,16384,0.50,0.90,9.738119,0.205,0.326,3.176158
Coarse,strong,50/50,skew,1,2000000,16384,0.50,0.99,3.405951,0.587,0.927,3.156578
Coarse,strong,50/50,skew,2,2000000,16384,0.50,0.99,3.727269,0.537,0.847,3.156578
Coarse,strong,50/50,skew,4,2000000,16384,0.50,0.99,5.419440,0.369,0.582,3.156578
Coarse,strong,50/50,skew,8,2000000,16384,0.50,0.99,7.134538,0.280,0.442,3.156578
Coarse,strong,50/50,skew,16,2000000,16384,0.50,0.99,9.848379,0.203,0.321,3.156578
Coarse,strong,50/50,uniform,1,2000000,65536,0.50,0.00,0.904074,2.212,0.796,0.719925
Coarse,strong,50/50,uniform,2,2000000,65536,0.50,0.00,1.196244,1.672,0.602,0.719925
Coarse,strong,50/50,uniform,4,2000000,65536,0.50,0.00,2.373887,0.843,0.303,0.719925
Coarse,strong,50/50,uniform,8,2000000,65536,0.50,0.00,3.911586,0.511,0.184,0.719925
Coarse,strong,50/50,uniform,16,2000000,65536,0.50,0.00,5.014838,0.399,0.144,0.719925
Coarse,strong,50/50,skew,1,2000000,65536,0.50,0.70,0.935449,2.138,0.833,0.779068
Coarse,strong,50/50,skew,2,2000000,65536,0.50,0.70,1.188667,1.683,0.655,0.779068
Coarse,strong,50/50,skew,4,2000000,65536,0.50,0.70,2.540171,0.787,0.307,0.779068
Coarse,strong,50/50,skew,8,2000000,65536,0.50,0.70,3.723544,0.537,0.209,0.779068
Coarse,strong,50/50,skew,16,2000000,65536,0.50,0.70,4.909705,0.407,0.159,0.779068
Coarse,strong,50/50,skew,1,2000000,65536,0.50,0.90,0.881520,2.269,0.877,0.772668
Coarse,strong,50/50,skew,2,2000000,65536,0.50,0.90,1.113061,1.797,0.694,0.772668
Coarse,strong,50/50,skew,4,2000000,65536,0.50,0.90,2.243340,0.892,0.344,0.772668
Coarse,strong,50/50,skew,8,2000000,65536,0.50,0.90,3.542715,0.565,0.218,0.772668
Coarse,strong,50/50,skew,16,2000000,65536,0.50,0.90,4.875190,0.410,0.158,0.772668
Coarse,strong,50/50,skew,1,2000000,65536,0.50,0.99,0.867352,2.306,0.889,0.771258
Coarse,strong,50/50,skew,2,2000000,65536,0.50,0.99,1.082435,1.848,0.713,0.771258
Coarse,strong,50/50,skew,4,2000000,65536,0.50,0.99,2.355228,0.849,0.327,0.771258
Coarse,strong,50/50,skew,8,2000000,65536,0.50,0.99,3.623892,0.552,0.213,0.771258
