impl,mode,mix,dist,threads,ops,bucket_count,read_ratio,p_hot,time_s,throughput_mops,speedup,seq_baseline_s
Fine,strong,80/20,uniform,1,2000000,16384,0.80,0.00,2.754298,0.726,0.502,1.382164
Fine,strong,80/20,uniform,2,2000000,16384,0.80,0.00,1.332922,1.500,1.037,1.382164
Fine,strong,80/20,uniform,4,2000000,16384,0.80,0.00,0.732145,2.732,1.888,1.382164
Fine,strong,80/20,uniform,8,2000000,16384,0.80,0.00,0.380714,5.253,3.630,1.382164
Fine,strong,80/20,uniform,16,2000000,16384,0.80,0.00,0.242306,8.254,5.704,1.382164
Fine,strong,80/20,skew,1,2000000,16384,0.80,0.70,2.522355,0.793,0.562,1.416429
Fine,strong,80/20,skew,2,2000000,16384,0.80,0.70,1.385780,1.443,1.022,1.416429
Fine,strong,80/20,skew,4,2000000,16384,0.80,0.70,0.832211,2.403,1.702,1.416429
Fine,strong,80/20,skew,8,2000000,16384,0.80,0.70,0.580037,3.448,2.442,1.416429
Fine,strong,80/20,skew,16,2000000,16384,0.80,0.70,0.471035,4.246,3.007,1.416429
Fine,strong,80/20,skew,1,2000000,16384,0.80,0.90,2.012000,0.994,0.699,1.405605
Fine,strong,80/20,skew,2,2000000,16384,0.80,0.90,1.134233,1.763,1.239,1.405605
Fine,strong,80/20,skew,4,2000000,16384,0.80,0.90,0.711521,2.811,1.975,1.405605
Fine,strong,80/20,skew,8,2000000,16384,0.80,0.90,0.531274,3.765,2.646,1.405605
Fine,strong,80/20,skew,16,2000000,16384,0.80,0.90,0.470667,4.249,2.986,1.405605
Fine,strong,80/20,skew,1,2000000,16384,0.80,0.99,1.796307,1.113,0.782,1.404413
Fine,strong,80/20,skew,2,2000000,16384,0.80,0.99,1.035506,1.931,1.356,1.404413
Fine,strong,80/20,skew,4,2000000,16384,0.80,0.99,0.686678,2.913,2.045,1.404413
Fine,strong,80/20,skew,8,2000000,16384,0.80,0.99,0.543819,3.678,2.583,1.404413
Fine,strong,80/20,skew,16,2000000,16384,0.80,0.99,0.476613,4.196,2.947,1.404413
