impl,mode,mix,dist,threads,ops,bucket_count,read_ratio,p_hot,time_s,throughput_mops,speedup,seq_baseline_s
Fine,strong,80/20,uniform,16,2000000,16384,0.80,0.00,0.226723,8.821,6.043,1.369983
Fine,strong,80/20,uniform,32,2000000,16384,0.80,0.00,0.185922,10.757,7.369,1.369983
Fine,strong,80/20,uniform,48,2000000,16384,0.80,0.00,0.159490,12.540,8.590,1.369983
Fine,strong,80/20,skew,16,2000000,16384,0.80,0.70,0.482113,4.148,2.939,1.417000
Fine,strong,80/20,skew,32,2000000,16384,0.80,0.70,0.461306,4.336,3.072,1.417000
Fine,strong,80/20,skew,48,2000000,16384,0.80,0.70,0.395519,5.057,3.583,1.417000
Fine,strong,80/20,skew,16,2000000,16384,0.80,0.90,0.471154,4.245,3.014,1.419897
Fine,strong,80/20,skew,32,2000000,16384,0.80,0.90,0.451300,4.432,3.146,1.419897
Fine,strong,80/20,skew,48,2000000,16384,0.80,0.90,0.422475,4.734,3.361,1.419897
Fine,strong,80/20,skew,16,2000000,16384,0.80,0.99,0.489672,4.084,2.858,1.399371
Fine,strong,80/20,skew,32,2000000,16384,0.80,0.99,0.466781,4.285,2.998,1.399371
Fine,strong,80/20,skew,48,2000000,16384,0.80,0.99,0.427914,4.674,3.270,1.399371
Fine,strong,80/20,uniform,16,2000000,65536,0.80,0.00,0.155368,12.873,1.882,0.292447
Fine,strong,80/20,uniform,32,2000000,65536,0.80,0.00,0.132560,15.087,2.206,0.292447
Fine,strong,80/20,uniform,48,2000000,65536,0.80,0.00,0.127392,15.700,2.296,0.292447
Fine,strong,80/20,skew,16,2000000,65536,0.80,0.70,0.308031,6.493,1.156,0.356045
Fine,strong,80/20,skew,32,2000000,65536,0.80,0.70,0.292426,6.839,1.218,0.356045
Fine,strong,80/20,skew,48,2000000,65536,0.80,0.70,0.272485,7.340,1.307,0.356045
Fine,strong,80/20,skew,16,2000000,65536,0.80,0.90,0.295149,6.776,1.190,0.351086
Fine,strong,80/20,skew,32,2000000,65536,0.80,0.90,0.283335,7.059,1.239,0.351086
Fine,strong,80/20,skew,48,2000000,65536,0.80,0.90,0.264445,7.563,1.328,0.351086
Fine,strong,80/20,skew,16,2000000,65536,0.80,0.99,0.290394,6.887,1.215,0.352822
Fine,strong,80/20,skew,32,2000000,65536,0.80,0.99,0.282260,7.086,1.250,0.352822
Fine,strong,80/20,skew,48,2000000,65536,0.80,0.99,0.261924,7.636,1.347,0.352822
Fine,strong,80/20,uniform,16,2000000,262144,0.80,0.00,0.108267,18.473,0.968,0.104825
Fine,strong,80/20,uniform,32,2000000,262144,0.80,0.00,0.108757,18.390,0.964,0.104825
Fine,strong,80/20,uniform,48,2000000,262144,0.80,0.00,0.106771,18.732,0.982,0.104825
Fine,strong,80/20,skew,16,2000000,262144,0.80,0.70,0.287404,6.959,0.538,0.154693
Fine,strong,80/20,skew,32,2000000,262144,0.80,0.70,0.275326,7.264,0.562,0.154693
Fine,strong,80/20,skew,48,2000000,262144,0.80,0.70,0.266223,7.512,0.581,0.154693
Fine,strong,80/20,skew,16,2000000,262144,0.80,0.90,0.274329,7.291,0.521,0.142819
Fine,strong,80/20,skew,32,2000000,262144,0.80,0.90,0.264013,7.575,0.541,0.142819
Fine,strong,80/20,skew,48,2000000,262144,0.80,0.90,0.254804,7.849,0.561,0.142819
Fine,strong,80/20,skew,16,2000000,262144,0.80,0.99,0.271871,7.356,0.520,0.141460
Fine,strong,80/20,skew,32,2000000,262144,0.80,0.99,0.255934,7.815,0.553,0.141460
Fine,strong,80/20,skew,48,2000000,262144,0.80,0.99,0.250859,7.973,0.564,0.141460
