impl,mode,mix,dist,threads,ops,bucket_count,read_ratio,p_hot,time_s,throughput_mops,speedup,seq_baseline_s
Lock-Free,strong,80/20,uniform,1,2000000,16384,0.80,0.00,3.125691,0.640,0.439,1.371785
Lock-Free,strong,80/20,uniform,2,2000000,16384,0.80,0.00,1.513217,1.322,0.907,1.371785
Lock-Free,strong,80/20,uniform,4,2000000,16384,0.80,0.00,0.800617,2.498,1.713,1.371785
Lock-Free,strong,80/20,uniform,8,2000000,16384,0.80,0.00,0.409211,4.887,3.352,1.371785
Lock-Free,strong,80/20,uniform,16,2000000,16384,0.80,0.00,0.279632,7.152,4.906,1.371785
Lock-Free,strong,80/20,skew,1,2000000,16384,0.80,0.70,5.511610,0.363,0.253,1.395163
Lock-Free,strong,80/20,skew,2,2000000,16384,0.80,0.70,2.830238,0.707,0.493,1.395163
Lock-Free,strong,80/20,skew,4,2000000,16384,0.80,0.70,1.344731,1.487,1.038,1.395163
Lock-Free,strong,80/20,skew,8,2000000,16384,0.80,0.70,0.651309,3.071,2.142,1.395163
Lock-Free,strong,80/20,skew,16,2000000,16384,0.80,0.70,0.448270,4.462,3.112,1.395163
Lock-Free,strong,80/20,skew,1,2000000,16384,0.80,0.90,5.967730,0.335,0.233,1.390662
Lock-Free,strong,80/20,skew,2,2000000,16384,0.80,0.90,3.016535,0.663,0.461,1.390662
Lock-Free,strong,80/20,skew,4,2000000,16384,0.80,0.90,1.422555,1.406,0.978,1.390662
Lock-Free,strong,80/20,skew,8,2000000,16384,0.80,0.90,0.676398,2.957,2.056,1.390662
Lock-Free,strong,80/20,skew,16,2000000,16384,0.80,0.90,0.449768,4.447,3.092,1.390662
Lock-Free,strong,80/20,skew,1,2000000,16384,0.80,0.99,6.176534,0.324,0.225,1.387687
Lock-Free,strong,80/20,skew,2,2000000,16384,0.80,0.99,3.135519,0.638,0.443,1.387687
Lock-Free,strong,80/20,skew,4,2000000,16384,0.80,0.99,1.506176,1.328,0.921,1.387687
Lock-Free,strong,80/20,skew,8,2000000,16384,0.80,0.99,0.711812,2.810,1.950,1.387687
Lock-Free,strong,80/20,skew,16,2000000,16384,0.80,0.99,0.457534,4.371,3.033,1.387687
Lock-Free,strong,80/20,uniform,1,2000000,65536,0.80,0.00,0.708444,2.823,0.409,0.289693
Lock-Free,strong,80/20,uniform,2,2000000,65536,0.80,0.00,0.495964,4.033,0.584,0.289693
Lock-Free,strong,80/20,uniform,4,2000000,65536,0.80,0.00,0.291581,6.859,0.994,0.289693
Lock-Free,strong,80/20,uniform,8,2000000,65536,0.80,0.00,0.180575,11.076,1.604,0.289693
Lock-Free,strong,80/20,uniform,16,2000000,65536,0.80,0.00,0.135277,14.785,2.141,0.289693
Lock-Free,strong,80/20,skew,1,2000000,65536,0.80,0.70,1.496038,1.337,0.225,0.337225
Lock-Free,strong,80/20,skew,2,2000000,65536,0.80,0.70,0.792426,2.524,0.426,0.337225
Lock-Free,strong,80/20,skew,4,2000000,65536,0.80,0.70,0.449944,4.445,0.749,0.337225
Lock-Free,strong,80/20,skew,8,2000000,65536,0.80,0.70,0.321852,6.214,1.048,0.337225
Lock-Free,strong,80/20,skew,16,2000000,65536,0.80,0.70,0.290107,6.894,1.162,0.337225
Lock-Free,strong,80/20,skew,1,2000000,65536,0.80,0.90,1.605083,1.246,0.208,0.333102
Lock-Free,strong,80/20,skew,2,2000000,65536,0.80,0.90,0.842513,2.374,0.395,0.333102
Lock-Free,strong,80/20,skew,4,2000000,65536,0.80,0.90,0.467380,4.279,0.713,0.333102
