impl,mode,mix,dist,threads,ops,bucket_count,read_ratio,p_hot,time_s,throughput_mops,speedup,seq_baseline_s
Lock-Free,strong,80/20,uniform,16,2000000,16384,0.80,0.00,0.251125,7.964,5.469,1.373481
Lock-Free,strong,80/20,uniform,32,2000000,16384,0.80,0.00,0.198068,10.098,6.934,1.373481
Lock-Free,strong,80/20,uniform,48,2000000,16384,0.80,0.00,0.166524,12.010,8.248,1.373481
Lock-Free,strong,80/20,skew,16,2000000,16384,0.80,0.70,0.463019,4.319,3.111,1.440235
Lock-Free,strong,80/20,skew,32,2000000,16384,0.80,0.70,0.346667,5.769,4.155,1.440235
Lock-Free,strong,80/20,skew,48,2000000,16384,0.80,0.70,0.309223,6.468,4.658,1.440235
Lock-Free,strong,80/20,skew,16,2000000,16384,0.80,0.90,0.542237,3.688,2.640,1.431480
Lock-Free,strong,80/20,skew,32,2000000,16384,0.80,0.90,0.381431,5.243,3.753,1.431480
Lock-Free,strong,80/20,skew,48,2000000,16384,0.80,0.90,0.310085,6.450,4.616,1.431480
Lock-Free,strong,80/20,skew,16,2000000,16384,0.80,0.99,0.541215,3.695,2.643,1.430645
Lock-Free,strong,80/20,skew,32,2000000,16384,0.80,0.99,0.390807,5.118,3.661,1.430645
Lock-Free,strong,80/20,skew,48,2000000,16384,0.80,0.99,0.302149,6.619,4.735,1.430645
Lock-Free,strong,80/20,uniform,16,2000000,65536,0.80,0.00,0.133537,14.977,2.263,0.302256
Lock-Free,strong,80/20,uniform,32,2000000,65536,0.80,0.00,0.128149,15.607,2.359,0.302256
Lock-Free,strong,80/20,uniform,48,2000000,65536,0.80,0.00,0.128354,15.582,2.355,0.302256
Lock-Free,strong,80/20,skew,16,2000000,65536,0.80,0.70,0.298632,6.697,1.252,0.374033
Lock-Free,strong,80/20,skew,32,2000000,65536,0.80,0.70,0.261448,7.650,1.431,0.374033
Lock-Free,strong,80/20,skew,48,2000000,65536,0.80,0.70,0.247292,8.088,1.513,0.374033
Lock-Free,strong,80/20,skew,16,2000000,65536,0.80,0.90,0.289401,6.911,1.274,0.368741
Lock-Free,strong,80/20,skew,32,2000000,65536,0.80,0.90,0.249325,8.022,1.479,0.368741
Lock-Free,strong,80/20,skew,48,2000000,65536,0.80,0.90,0.235203,8.503,1.568,0.368741
Lock-Free,strong,80/20,skew,16,2000000,65536,0.80,0.99,0.283598,7.052,1.293,0.366562
Lock-Free,strong,80/20,skew,32,2000000,65536,0.80,0.99,0.245044,8.162,1.496,0.366562
Lock-Free,strong,80/20,skew,48,2000000,65536,0.80,0.99,0.229090,8.730,1.600,0.366562
Lock-Free,strong,80/20,uniform,16,2000000,262144,0.80,0.00,0.115209,17.360,0.924,0.106483
Lock-Free,strong,80/20,uniform,32,2000000,262144,0.80,0.00,0.117984,16.951,0.903,0.106483
Lock-Free,strong,80/20,uniform,48,2000000,262144,0.80,0.00,0.118820,16.832,0.896,0.106483
Lock-Free,strong,80/20,skew,16,2000000,262144,0.80,0.70,0.263193,7.599,0.606,0.159448
Lock-Free,strong,80/20,skew,32,2000000,262144,0.80,0.70,0.243724,8.206,0.654,0.159448
Lock-Free,strong,80/20,skew,48,2000000,262144,0.80,0.70,0.238375,8.390,0.669,0.159448
Lock-Free,strong,80/20,skew,16,2000000,262144,0.80,0.90,0.250175,7.994,0.618,0.154574
Lock-Free,strong,80/20,skew,32,2000000,262144,0.80,0.90,0.228591,8.749,0.676,0.154574
Lock-Free,strong,80/20,skew,48,2000000,262144,0.80,0.90,0.226119,8.845,0.684,0.154574
Lock-Free,strong,80/20,skew,16,2000000,262144,0.80,0.99,0.240831,8.305,0.635,0.152992
Lock-Free,strong,80/20,skew,32,2000000,262144,0.80,0.99,0.223371,8.954,0.685,0.152992
Lock-Free,strong,80/20,skew,48,2000000,262144,0.80,0.99,0.221128,9.045,0.692,0.152992
Lock-Free,strong,80/20,uniform,16,2000000,1048576,0.80,0.00,0.094537,21.156,0.648,0.061265
Lock-Free,strong,80/20,uniform,32,2000000,1048576,0.80,0.00,0.093725,21.339,0.654,0.061265
Lock-Free,strong,80/20,uniform,48,2000000,1048576,0.80,0.00,0.094221,21.227,0.650,0.061265
Lock-Free,strong,80/20,skew,16,2000000,1048576,0.80,0.70,0.243585,8.211,0.442,0.107616
Lock-Free,strong,80/20,skew,32,2000000,1048576,0.80,0.70,0.228051,8.770,0.472,0.107616
Lock-Free,strong,80/20,skew,48,2000000,1048576,0.80,0.70,0.224134,8.923,0.480,0.107616
Lock-Free,strong,80/20,skew,16,2000000,1048576,0.80,0.90,0.226795,8.819,0.453,0.102759
Lock-Free,strong,80/20,skew,32,2000000,1048576,0.80,0.90,0.212325,9.420,0.484,0.102759
Lock-Free,strong,80/20,skew,48,2000000,1048576,0.80,0.90,0.210095,9.519,0.489,0.102759
Lock-Free,strong,80/20,skew,16,2000000,1048576,0.80,0.99,0.218864,9.138,0.461,0.100979
Lock-Free,strong,80/20,skew,32,2000000,1048576,0.80,0.99,0.206107,9.704,0.490,0.100979
Lock-Free,strong,80/20,skew,48,2000000,1048576,0.80,0.99,0.203909,9.808,0.495,0.100979
Lock-Free,strong,50/50,uniform,16,2000000,16384,0.50,0.00,0.558157,3.583,5.880,3.282131
Lock-Free,strong,50/50,uniform,32,2000000,16384,0.50,0.00,0.358892,5.573,9.145,3.282131
Lock-Free,strong,50/50,uniform,48,2000000,16384,0.50,0.00,0.304310,6.572,10.785,3.282131
Lock-Free,strong,50/50,skew,16,2000000,16384,0.50,0.70,0.654770,3.055,5.074,3.322049
Lock-Free,strong,50/50,skew,32,2000000,16384,0.50,0.70,0.540475,3.700,6.147,3.322049
Lock-Free,strong,50/50,skew,48,2000000,16384,0.50,0.70,0.445032,4.494,7.465,3.322049
Lock-Free,strong,50/50,skew,16,2000000,16384,0.50,0.90,0.665378,3.006,4.983,3.315658
Lock-Free,strong,50/50,skew,32,2000000,16384,0.50,0.90,0.543702,3.678,6.098,3.315658
Lock-Free,strong,50/50,skew,48,2000000,16384,0.50,0.90,0.446078,4.484,7.433,3.315658
Lock-Free,strong,50/50,skew,16,2000000,16384,0.50,0.99,0.670350,2.984,4.944,3.314036
Lock-Free,strong,50/50,skew,32,2000000,16384,0.50,0.99,0.545552,3.666,6.075,3.314036
Lock-Free,strong,50/50,skew,48,2000000,16384,0.50,0.99,0.447830,4.466,7.400,3.314036
Lock-Free,strong,50/50,uniform,16,2000000,65536,0.50,0.00,0.230791,8.666,3.094,0.713994
Lock-Free,strong,50/50,uniform,32,2000000,65536,0.50,0.00,0.228108,8.768,3.130,0.713994
Lock-Free,strong,50/50,uniform,48,2000000,65536,0.50,0.00,0.221045,9.048,3.230,0.713994
Lock-Free,strong,50/50,skew,16,2000000,65536,0.50,0.70,0.353140,5.663,2.292,0.809228
Lock-Free,strong,50/50,skew,32,2000000,65536,0.50,0.70,0.327533,6.106,2.471,0.809228
Lock-Free,strong,50/50,skew,48,2000000,65536,0.50,0.70,0.316031,6.329,2.561,0.809228
Lock-Free,strong,50/50,skew,16,2000000,65536,0.50,0.90,0.345620,5.787,2.326,0.804084
Lock-Free,strong,50/50,skew,32,2000000,65536,0.50,0.90,0.318485,6.280,2.525,0.804084
Lock-Free,strong,50/50,skew,48,2000000,65536,0.50,0.90,0.304687,6.564,2.639,0.804084
Lock-Free,strong,50/50,skew,16,2000000,65536,0.50,0.99,0.343877,5.816,2.337,0.803561
Lock-Free,strong,50/50,skew,32,2000000,65536,0.50,0.99,0.317224,6.305,2.533,0.803561
