impl,mode,mix,dist,threads,ops,bucket_count,read_ratio,p_hot,time_s,throughput_mops,speedup,seq_baseline_s
Segment,strong,80/20,uniform,1,2000000,16384,0.80,0.00,2.662047,0.751,0.512,1.363989
Segment,strong,80/20,uniform,2,2000000,16384,0.80,0.00,1.390753,1.438,0.981,1.363989
Segment,strong,80/20,uniform,4,2000000,16384,0.80,0.00,0.822838,2.431,1.658,1.363989
Segment,strong,80/20,uniform,8,2000000,16384,0.80,0.00,0.453477,4.410,3.008,1.363989
Segment,strong,80/20,uniform,16,2000000,16384,0.80,0.00,0.296016,6.756,4.608,1.363989
Segment,strong,80/20,skew,1,2000000,16384,0.80,0.70,2.357257,0.848,0.597,1.406604
Segment,strong,80/20,skew,2,2000000,16384,0.80,0.70,1.478678,1.353,0.951,1.406604
Segment,strong,80/20,skew,4,2000000,16384,0.80,0.70,0.849688,2.354,1.655,1.406604
Segment,strong,80/20,skew,8,2000000,16384,0.80,0.70,0.590833,3.385,2.381,1.406604
Segment,strong,80/20,skew,16,2000000,16384,0.80,0.70,0.498444,4.012,2.822,1.406604
Segment,strong,80/20,skew,1,2000000,16384,0.80,0.90,1.904475,1.050,0.736,1.401638
Segment,strong,80/20,skew,2,2000000,16384,0.80,0.90,1.240374,1.612,1.130,1.401638
Segment,strong,80/20,skew,4,2000000,16384,0.80,0.90,0.796455,2.511,1.760,1.401638
Segment,strong,80/20,skew,8,2000000,16384,0.80,0.90,0.604831,3.307,2.317,1.401638
Segment,strong,80/20,skew,16,2000000,16384,0.80,0.90,0.490926,4.074,2.855,1.401638
Segment,strong,80/20,skew,1,2000000,16384,0.80,0.99,1.692219,1.182,0.831,1.406712
Segment,strong,80/20,skew,2,2000000,16384,0.80,0.99,1.121962,1.783,1.254,1.406712
Segment,strong,80/20,skew,4,2000000,16384,0.80,0.99,0.731817,2.733,1.922,1.406712
Segment,strong,80/20,skew,8,2000000,16384,0.80,0.99,0.572866,3.491,2.456,1.406712
Segment,strong,80/20,skew,16,2000000,16384,0.80,0.99,0.490365,4.079,2.869,1.406712
Segment,strong,80/20,uniform,1,2000000,65536,0.80,0.00,0.754379,2.651,0.416,0.313520
Segment,strong,80/20,uniform,2,2000000,65536,0.80,0.00,0.600132,3.333,0.522,0.313520
Segment,strong,80/20,uniform,4,2000000,65536,0.80,0.00,0.375895,5.321,0.834,0.313520
Segment,strong,80/20,uniform,8,2000000,65536,0.80,0.00,0.229593,8.711,1.366,0.313520
Segment,strong,80/20,uniform,16,2000000,65536,0.80,0.00,0.168338,11.881,1.862,0.313520
Segment,strong,80/20,skew,1,2000000,65536,0.80,0.70,0.775745,2.578,0.470,0.364324
Segment,strong,80/20,skew,2,2000000,65536,0.80,0.70,0.489412,4.087,0.744,0.364324
Segment,strong,80/20,skew,4,2000000,65536,0.80,0.70,0.396785,5.041,0.918,0.364324
Segment,strong,80/20,skew,8,2000000,65536,0.80,0.70,0.351824,5.685,1.036,0.364324
Segment,strong,80/20,skew,16,2000000,65536,0.80,0.70,0.334399,5.981,1.089,0.364324
Segment,strong,80/20,skew,1,2000000,65536,0.80,0.90,0.654513,3.056,0.549,0.359421
Segment,strong,80/20,skew,2,2000000,65536,0.80,0.90,0.423069,4.727,0.850,0.359421
Segment,strong,80/20,skew,4,2000000,65536,0.80,0.90,0.367594,5.441,0.978,0.359421
Segment,strong,80/20,skew,8,2000000,65536,0.80,0.90,0.341299,5.860,1.053,0.359421
