impl,mode,mix,dist,threads,ops,bucket_count,read_ratio,p_hot,time_s,throughput_mops,speedup,seq_baseline_s
Segment,strong,80/20,uniform,16,2000000,16384,0.80,0.00,0.237785,8.411,5.858,1.392871
Segment,strong,80/20,uniform,32,2000000,16384,0.80,0.00,0.166210,12.033,8.380,1.392871
Segment,strong,80/20,uniform,48,2000000,16384,0.80,0.00,0.139611,14.325,9.977,1.392871
Segment,strong,80/20,skew,16,2000000,16384,0.80,0.70,0.511097,3.913,2.820,1.441281
Segment,strong,80/20,skew,32,2000000,16384,0.80,0.70,0.458845,4.359,3.141,1.441281
Segment,strong,80/20,skew,48,2000000,16384,0.80,0.70,0.417271,4.793,3.454,1.441281
Segment,strong,80/20,skew,16,2000000,16384,0.80,0.90,0.463978,4.311,3.108,1.442164
Segment,strong,80/20,skew,32,2000000,16384,0.80,0.90,0.431095,4.639,3.345,1.442164
Segment,strong,80/20,skew,48,2000000,16384,0.80,0.90,0.388629,5.146,3.711,1.442164
Segment,strong,80/20,skew,16,2000000,16384,0.80,0.99,0.463146,4.318,3.085,1.428610
Segment,strong,80/20,skew,32,2000000,16384,0.80,0.99,0.427219,4.681,3.344,1.428610
Segment,strong,80/20,skew,48,2000000,16384,0.80,0.99,0.391974,5.102,3.645,1.428610
Segment,strong,80/20,uniform,16,2000000,65536,0.80,0.00,0.115409,17.330,2.786,0.321558
Segment,strong,80/20,uniform,32,2000000,65536,0.80,0.00,0.080934,24.712,3.973,0.321558
Segment,strong,80/20,uniform,48,2000000,65536,0.80,0.00,0.062411,32.045,5.152,0.321558
Segment,strong,80/20,skew,16,2000000,65536,0.80,0.70,0.299027,6.688,1.168,0.349331
Segment,strong,80/20,skew,32,2000000,65536,0.80,0.70,0.295441,6.770,1.182,0.349331
Segment,strong,80/20,skew,48,2000000,65536,0.80,0.70,0.295895,6.759,1.181,0.349331
Segment,strong,80/20,skew,16,2000000,65536,0.80,0.90,0.291324,6.865,1.158,0.337315
Segment,strong,80/20,skew,32,2000000,65536,0.80,0.90,0.292781,6.831,1.152,0.337315
Segment,strong,80/20,skew,48,2000000,65536,0.80,0.90,0.293425,6.816,1.150,0.337315
Segment,strong,80/20,skew,16,2000000,65536,0.80,0.99,0.292402,6.840,1.142,0.333844
Segment,strong,80/20,skew,32,2000000,65536,0.80,0.99,0.290676,6.881,1.149,0.333844
Segment,strong,80/20,skew,48,2000000,65536,0.80,0.99,0.293264,6.820,1.138,0.333844
Segment,strong,80/20,uniform,16,2000000,262144,0.80,0.00,0.062230,32.139,1.683,0.104752
Segment,strong,80/20,uniform,32,2000000,262144,0.80,0.00,0.052268,38.264,2.004,0.104752
Segment,strong,80/20,uniform,48,2000000,262144,0.80,0.00,0.050323,39.743,2.082,0.104752
Segment,strong,80/20,skew,16,2000000,262144,0.80,0.70,0.268993,7.435,0.554,0.149103
Segment,strong,80/20,skew,32,2000000,262144,0.80,0.70,0.267478,7.477,0.557,0.149103
Segment,strong,80/20,skew,48,2000000,262144,0.80,0.70,0.274657,7.282,0.543,0.149103
