impl,mode,mix,dist,threads,ops,bucket_count,read_ratio,p_hot,time_s,throughput_mops,speedup,seq_baseline_s
Segment,strong,80/20,uniform,1,2000000,16384,0.80,0.00,2.689081,0.744,0.512,1.377494
Segment,strong,80/20,uniform,2,2000000,16384,0.80,0.00,1.394891,1.434,0.988,1.377494
Segment,strong,80/20,uniform,4,2000000,16384,0.80,0.00,0.823674,2.428,1.672,1.377494
Segment,strong,80/20,uniform,8,2000000,16384,0.80,0.00,0.451974,4.425,3.048,1.377494
Segment,strong,80/20,uniform,16,2000000,16384,0.80,0.00,0.294509,6.791,4.677,1.377494
Segment,strong,80/20,skew,1,2000000,16384,0.80,0.70,2.415099,0.828,0.589,1.422251
Segment,strong,80/20,skew,2,2000000,16384,0.80,0.70,1.421312,1.407,1.001,1.422251
Segment,strong,80/20,skew,4,2000000,16384,0.80,0.70,0.850239,2.352,1.673,1.422251
Segment,strong,80/20,skew,8,2000000,16384,0.80,0.70,0.610725,3.275,2.329,1.422251
Segment,strong,80/20,skew,16,2000000,16384,0.80,0.70,0.506890,3.946,2.806,1.422251
Segment,strong,80/20,skew,1,2000000,16384,0.80,0.90,1.894417,1.056,0.736,1.394551
Segment,strong,80/20,skew,2,2000000,16384,0.80,0.90,1.130030,1.770,1.234,1.394551
Segment,strong,80/20,skew,4,2000000,16384,0.80,0.90,0.752140,2.659,1.854,1.394551
Segment,strong,80/20,skew,8,2000000,16384,0.80,0.90,0.605234,3.305,2.304,1.394551
Segment,strong,80/20,skew,16,2000000,16384,0.80,0.90,0.504792,3.962,2.763,1.394551
Segment,strong,80/20,skew,1,2000000,16384,0.80,0.99,1.693547,1.181,0.827,1.399985
Segment,strong,80/20,skew,2,2000000,16384,0.80,0.99,1.119282,1.787,1.251,1.399985
Segment,strong,80/20,skew,4,2000000,16384,0.80,0.99,0.748392,2.672,1.871,1.399985
Segment,strong,80/20,skew,8,2000000,16384,0.80,0.99,0.612098,3.267,2.287,1.399985
Segment,strong,80/20,skew,16,2000000,16384,0.80,0.99,0.501635,3.987,2.791,1.399985
Segment,strong,80/20,uniform,1,2000000,65536,0.80,0.00,0.732434,2.731,0.420,0.307799
Segment,strong,80/20,uniform,2,2000000,65536,0.80,0.00,0.545764,3.665,0.564,0.307799
Segment,strong,80/20,uniform,4,2000000,65536,0.80,0.00,0.340776,5.869,0.903,0.307799
Segment,strong,80/20,uniform,8,2000000,65536,0.80,0.00,0.198789,10.061,1.548,0.307799
Segment,strong,80/20,uniform,16,2000000,65536,0.80,0.00,0.137026,14.596,2.246,0.307799
Segment,strong,80/20,skew,1,2000000,65536,0.80,0.70,0.765721,2.612,0.502,0.384226
Segment,strong,80/20,skew,2,2000000,65536,0.80,0.70,0.467588,4.277,0.822,0.384226
Segment,strong,80/20,skew,4,2000000,65536,0.80,0.70,0.369281,5.416,1.040,0.384226
Segment,strong,80/20,skew,8,2000000,65536,0.80,0.70,0.343903,5.816,1.117,0.384226
Segment,strong,80/20,skew,16,2000000,65536,0.80,0.70,0.323375,6.185,1.188,0.384226
Segment,strong,80/20,skew,1,2000000,65536,0.80,0.90,0.636478,3.142,0.554,0.352467
Segment,strong,80/20,skew,2,2000000,65536,0.80,0.90,0.391712,5.106,0.900,0.352467
Segment,strong,80/20,skew,4,2000000,65536,0.80,0.90,0.352958,5.666,0.999,0.352467
Segment,strong,80/20,skew,8,2000000,65536,0.80,0.90,0.340455,5.874,1.035,0.352467
Segment,strong,80/20,skew,16,2000000,65536,0.80,0.90,0.311154,6.428,1.133,0.352467
Segment,strong,80/20,skew,1,2000000,65536,0.80,0.99,0.574606,3.481,0.610,0.350458
Segment,strong,80/20,skew,2,2000000,65536,0.80,0.99,0.362831,5.512,0.966,0.350458
Segment,strong,80/20,skew,4,2000000,65536,0.80,0.99,0.341128,5.863,1.027,0.350458
Segment,strong,80/20,skew,8,2000000,65536,0.80,0.99,0.340342,5.876,1.030,0.350458
Segment,strong,80/20,skew,16,2000000,65536,0.80,0.99,0.305517,6.546,1.147,0.350458
Segment,strong,80/20,uniform,1,2000000,262144,0.80,0.00,0.274387,7.289,0.376,0.103237
Segment,strong,80/20,uniform,2,2000000,262144,0.80,0.00,0.228363,8.758,0.452,0.103237
Segment,strong,80/20,uniform,4,2000000,262144,0.80,0.00,0.177882,11.243,0.580,0.103237
Segment,strong,80/20,uniform,8,2000000,262144,0.80,0.00,0.106139,18.843,0.973,0.103237
Segment,strong,80/20,uniform,16,2000000,262144,0.80,0.00,0.070106,28.528,1.473,0.103237
Segment,strong,80/20,skew,1,2000000,262144,0.80,0.70,0.404369,4.946,0.371,0.149873
Segment,strong,80/20,skew,2,2000000,262144,0.80,0.70,0.246751,8.105,0.607,0.149873
Segment,strong,80/20,skew,4,2000000,262144,0.80,0.70,0.281012,7.117,0.533,0.149873
Segment,strong,80/20,skew,8,2000000,262144,0.80,0.70,0.317997,6.289,0.471,0.149873
Segment,strong,80/20,skew,16,2000000,262144,0.80,0.70,0.296816,6.738,0.505,0.149873
Segment,strong,80/20,skew,1,2000000,262144,0.80,0.90,0.354225,5.646,0.411,0.145640
Segment,strong,80/20,skew,2,2000000,262144,0.80,0.90,0.219569,9.109,0.663,0.145640
Segment,strong,80/20,skew,4,2000000,262144,0.80,0.90,0.267432,7.479,0.545,0.145640
Segment,strong,80/20,skew,8,2000000,262144,0.80,0.90,0.305477,6.547,0.477,0.145640
Segment,strong,80/20,skew,16,2000000,262144,0.80,0.90,0.283380,7.058,0.514,0.145640
Segment,strong,80/20,skew,1,2000000,262144,0.80,0.99,0.331008,6.042,0.434,0.143776
Segment,strong,80/20,skew,2,2000000,262144,0.80,0.99,0.207147,9.655,0.694,0.143776
Segment,strong,80/20,skew,4,2000000,262144,0.80,0.99,0.259724,7.700,0.554,0.143776
Segment,strong,80/20,skew,8,2000000,262144,0.80,0.99,0.303079,6.599,0.474,0.143776
Segment,strong,80/20,skew,16,2000000,262144,0.80,0.99,0.278744,7.175,0.516,0.143776
Segment,strong,80/20,uniform,1,2000000,1048576,0.80,0.00,0.219968,9.092,0.271,0.059569
Segment,strong,80/20,uniform,2,2000000,1048576,0.80,0.00,0.182977,10.930,0.326,0.059569
Segment,strong,80/20,uniform,4,2000000,1048576,0.80,0.00,0.121861,16.412,0.489,0.059569
Segment,strong,80/20,uniform,8,2000000,1048576,0.80,0.00,0.071843,27.839,0.829,0.059569
Segment,strong,80/20,uniform,16,2000000,1048576,0.80,0.00,0.049068,40.760,1.214,0.059569
Segment,strong,80/20,skew,1,2000000,1048576,0.80,0.70,0.332443,6.016,0.305,0.101345
Segment,strong,80/20,skew,2,2000000,1048576,0.80,0.70,0.203497,9.828,0.498,0.101345
Segment,strong,80/20,skew,4,2000000,1048576,0.80,0.70,0.264614,7.558,0.383,0.101345
Segment,strong,80/20,skew,8,2000000,1048576,0.80,0.70,0.308073,6.492,0.329,0.101345
Segment,strong,80/20,skew,16,2000000,1048576,0.80,0.70,0.281866,7.096,0.360,0.101345
