S,impl,mode,mix,dist,threads,ops,bucket_count,read_ratio,p_hot,time_s,throughput_mops,speedup
S16,Segment,strong,80/20,uniform,8,2000000,65536,0.80,0.00,0.231662,8.633,1.274
S16,Segment,strong,80/20,uniform,16,2000000,65536,0.80,0.00,0.189416,10.559,1.559
S16,Segment,strong,80/20,skew,8,2000000,65536,0.80,0.90,0.375483,5.326,0.905
S16,Segment,strong,80/20,skew,16,2000000,65536,0.80,0.90,0.344784,5.801,0.986
S16,Segment,strong,80/20,uniform,8,2000000,262144,0.80,0.00,0.138482,14.442,0.727
S16,Segment,strong,80/20,uniform,16,2000000,262144,0.80,0.00,0.169767,11.781,0.593
S16,Segment,strong,80/20,skew,8,2000000,262144,0.80,0.90,0.311640,6.418,0.463
S16,Segment,strong,80/20,skew,16,2000000,262144,0.80,0.90,0.293314,6.819,0.492
S16,Segment,strong,50/50,uniform,8,2000000,65536,0.50,0.00,0.308798,6.477,1.704
S16,Segment,strong,50/50,uniform,16,2000000,65536,0.50,0.00,0.237726,8.413,2.214
S16,Segment,strong,50/50,skew,8,2000000,65536,0.50,0.90,0.448247,4.462,1.311
S16,Segment,strong,50/50,skew,16,2000000,65536,0.50,0.90,0.424403,4.713,1.385
S16,Segment,strong,50/50,uniform,8,2000000,262144,0.50,0.00,0.153949,12.991,0.949
S16,Segment,strong,50/50,uniform,16,2000000,262144,0.50,0.00,0.162136,12.335,0.901
S16,Segment,strong,50/50,skew,8,2000000,262144,0.50,0.90,0.341026,5.865,0.566
S16,Segment,strong,50/50,skew,16,2000000,262144,0.50,0.90,0.340507,5.874,0.566
S32,Segment,strong,80/20,uniform,8,2000000,65536,0.80,0.00,0.214435,9.327,1.382
S32,Segment,strong,80/20,uniform,16,2000000,65536,0.80,0.00,0.158657,12.606,1.868
S32,Segment,strong,80/20,skew,8,2000000,65536,0.80,0.90,0.339695,5.888,1.007
S32,Segment,strong,80/20,skew,16,2000000,65536,0.80,0.90,0.314224,6.365,1.089
S32,Segment,strong,80/20,uniform,8,2000000,262144,0.80,0.00,0.132792,15.061,0.755
S32,Segment,strong,80/20,uniform,16,2000000,262144,0.80,0.00,0.115351,17.338,0.869
S32,Segment,strong,80/20,skew,8,2000000,262144,0.80,0.90,0.297291,6.727,0.482
S32,Segment,strong,80/20,skew,16,2000000,262144,0.80,0.90,0.283885,7.045,0.504
S32,Segment,strong,50/50,uniform,8,2000000,65536,0.50,0.00,0.297021,6.734,1.744
S32,Segment,strong,50/50,uniform,16,2000000,65536,0.50,0.00,0.222381,8.994,2.329
S32,Segment,strong,50/50,skew,8,2000000,65536,0.50,0.90,0.387059,5.167,1.512
S32,Segment,strong,50/50,skew,16,2000000,65536,0.50,0.90,0.346637,5.770,1.688
S32,Segment,strong,50/50,uniform,8,2000000,262144,0.50,0.00,0.188631,10.603,0.786
S32,Segment,strong,50/50,uniform,16,2000000,262144,0.50,0.00,0.193344,10.344,0.767
S32,Segment,strong,50/50,skew,8,2000000,262144,0.50,0.90,0.318601,6.277,0.604
S32,Segment,strong,50/50,skew,16,2000000,262144,0.50,0.90,0.295749,6.762,0.650
S64,Segment,strong,80/20,uniform,8,2000000,65536,0.80,0.00,0.198789,10.061,1.548
S64,Segment,strong,80/20,uniform,16,2000000,65536,0.80,0.00,0.137026,14.596,2.246
S64,Segment,strong,80/20,skew,8,2000000,65536,0.80,0.90,0.340455,5.874,1.035
S64,Segment,strong,80/20,skew,16,2000000,65536,0.80,0.90,0.311154,6.428,1.133
S64,Segment,strong,80/20,uniform,8,2000000,262144,0.80,0.00,0.106139,18.843,0.973
S64,Segment,strong,80/20,uniform,16,2000000,262144,0.80,0.00,0.070106,28.528,1.473
S64,Segment,strong,80/20,skew,8,2000000,262144,0.80,0.90,0.305477,6.547,0.477
S64,Segment,strong,80/20,skew,16,2000000,262144,0.80,0.90,0.283380,7.058,0.514
S64,Segment,strong,50/50,uniform,8,2000000,65536,0.50,0.00,0.267029,7.490,2.394
S64,Segment,strong,50/50,uniform,16,2000000,65536,0.50,0.00,0.184967,10.813,3.456
S64,Segment,strong,50/50,skew,8,2000000,65536,0.50,0.90,0.395726,5.054,1.833
S64,Segment,strong,50/50,skew,16,2000000,65536,0.50,0.90,0.377822,5.294,1.920
S64,Segment,strong,50/50,uniform,8,2000000,262144,0.50,0.00,0.138228,14.469,1.153
S64,Segment,strong,50/50,uniform,16,2000000,262144,0.50,0.00,0.101318,19.740,1.574
S64,Segment,strong,50/50,skew,8,2000000,262144,0.50,0.90,0.347393,5.757,0.575
S64,Segment,strong,50/50,skew,16,2000000,262144,0.50,0.90,0.331473,6.034,0.603
S128,Segment,strong,80/20,uniform,8,2000000,65536,0.80,0.00,0.201281,9.936,1.607
S128,Segment,strong,80/20,uniform,16,2000000,65536,0.80,0.00,0.136155,14.689,2.376
S128,Segment,strong,80/20,skew,8,2000000,65536,0.80,0.90,0.339036,5.899,1.068
S128,Segment,strong,80/20,skew,16,2000000,65536,0.80,0.90,0.310463,6.442,1.167
S128,Segment,strong,80/20,uniform,8,2000000,262144,0.80,0.00,0.107626,18.583,0.954
S128,Segment,strong,80/20,uniform,16,2000000,262144,0.80,0.00,0.067550,29.607,1.520
S128,Segment,strong,80/20,skew,8,2000000,262144,0.80,0.90,0.307627,6.501,0.476
S128,Segment,strong,80/20,skew,16,2000000,262144,0.80,0.90,0.295578,6.766,0.496
S128,Segment,strong,50/50,uniform,8,2000000,65536,0.50,0.00,0.258329,7.742,2.726
S128,Segment,strong,50/50,uniform,16,2000000,65536,0.50,0.00,0.180394,11.087,3.904
S128,Segment,strong,50/50,skew,8,2000000,65536,0.50,0.90,0.381597,5.241,2.110
S128,Segment,strong,50/50,skew,16,2000000,65536,0.50,0.90,0.371407,5.385,2.168
S128,Segment,strong,50/50,uniform,8,2000000,262144,0.50,0.00,0.137633,14.531,1.237
S128,Segment,strong,50/50,uniform,16,2000000,262144,0.50,0.00,0.101723,19.661,1.674
S128,Segment,strong,50/50,skew,8,2000000,262144,0.50,0.90,0.347477,5.756,0.633
S128,Segment,strong,50/50,skew,16,2000000,262144,0.50,0.90,0.328387,6.090,0.669
S256,Segment,strong,80/20,uniform,8,2000000,65536,0.80,0.00,0.203972,9.805,1.533
S256,Segment,strong,80/20,uniform,16,2000000,65536,0.80,0.00,0.147156,13.591,2.124
S256,Segment,strong,80/20,skew,8,2000000,65536,0.80,0.90,0.326900,6.118,1.118
S256,Segment,strong,80/20,skew,16,2000000,65536,0.80,0.90,0.296621,6.743,1.232
S256,Segment,strong,80/20,uniform,8,2000000,262144,0.80,0.00,0.125878,15.888,0.824
S256,Segment,strong,80/20,uniform,16,2000000,262144,0.80,0.00,0.110904,18.034,0.936
S256,Segment,strong,80/20,skew,8,2000000,262144,0.80,0.90,0.295270,6.773,0.499
S256,Segment,strong,80/20,skew,16,2000000,262144,0.80,0.90,0.273142,7.322,0.539
S256,Segment,strong,50/50,uniform,8,2000000,65536,0.50,0.00,0.281483,7.105,2.408
S256,Segment,strong,50/50,uniform,16,2000000,65536,0.50,0.00,0.222365,8.994,3.048
S256,Segment,strong,50/50,skew,8,2000000,65536,0.50,0.90,0.360587,5.547,2.186
